workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""34FNN24DCNCHQP53N77QO0YSOEYY52""",0,"""Submitted""","""Thu May 10 22:27:25 PDT 2018""","""Thu May 10 05:46:14 PDT 2018""","""Thu May 10 05:47:25 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""0.9484333333333334"""
1,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3DZQRBDBSMIHGO6QAIR8RHC7TXBS3S""",1,"""Submitted""","""Thu May 10 22:27:28 PDT 2018""","""Thu May 10 05:46:25 PDT 2018""","""Thu May 10 05:47:28 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""0.8933"""
2,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""336YQZE83WHHW8GP44JFU5BLF4L5MK""",2,"""Submitted""","""Thu May 10 22:28:17 PDT 2018""","""Thu May 10 05:47:17 PDT 2018""","""Thu May 10 05:48:17 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""0.7767"""
3,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3F0BG9B9MQQWDTJMB0MNMKCOFKTY7H""",3,"""Submitted""","""Thu May 10 22:28:18 PDT 2018""","""Thu May 10 05:47:10 PDT 2018""","""Thu May 10 05:48:18 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.0600833333333333"""
4,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""36TFCYNS45D46DZOJDMXUJU9RHWHXX""",4,"""Submitted""","""Thu May 10 22:28:23 PDT 2018""","""Thu May 10 05:47:24 PDT 2018""","""Thu May 10 05:48:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""0.8616666666666667"""
5,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3180JW2OT5FRV0A4176NEDJ4BAQ5JG""",5,"""Submitted""","""Thu May 10 22:28:30 PDT 2018""","""Thu May 10 05:46:56 PDT 2018""","""Thu May 10 05:48:30 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.4234666666666667"""
6,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3Q5ZZ9ZEVPI2BJELA39WPNAQVZW85Z""",6,"""Submitted""","""Thu May 10 22:28:37 PDT 2018""","""Thu May 10 05:47:17 PDT 2018""","""Thu May 10 05:48:37 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.2127833333333333"""
7,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3K4J6M3CXFWEA4WKOXC1PB7ABWAAGN""",7,"""Submitted""","""Thu May 10 22:28:45 PDT 2018""","""Thu May 10 05:47:18 PDT 2018""","""Thu May 10 05:48:45 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.3435666666666666"""
8,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""338JKRMM272SA0RV83UJABJBQWNAHM""",8,"""Submitted""","""Thu May 10 22:28:45 PDT 2018""","""Thu May 10 05:47:13 PDT 2018""","""Thu May 10 05:48:45 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.3816333333333333"""
9,"""3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3L55M9M850W505E3O0BOUL2SBABO9K""","""Language perception study""","""You will listen to a short audio clip and rate the speaker based on how they talk. This HIT should take no more than 2 minutes. You MUST be a native speaker of American English to participate.""","""language survey social perception linguistics Stanford""","""$0.27""","""Thu May 10 05:45:56 PDT 2018""","""384""","""316""","""48""","""0""","""Assignable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 09 05:45:56 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3NCN4N1H1HKMHML5RDKRMM5QLWEBNI""","""3VELCLL3GLMC2GNPHUDQWPEV6N4F15""",9,"""Submitted""","""Thu May 10 22:28:50 PDT 2018""","""Thu May 10 05:46:50 PDT 2018""","""Thu May 10 05:48:50 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""comparatives\""""","""1.80985"""
