workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
0,"""english""","""1""","""Male""","""32""","""no""","""""","""Yes""",""".30""","""3"""
1,"""ENGLISH""","""2""","""Male""","""27""","""no""","""Thank you""","""Yes""","""yes""","""1"""
2,"""English""","""2""","""Male""","""32""","""""","""""","""Yes""",""".3""","""3"""
3,"""english""","""1""","""Male""","""22""","""no""","""""","""No""",""".25""","""3"""
4,"""English""","""2""","""Male""","""29""","""no""","""""","""Yes""","""27c is fine""","""2"""
5,"""English""","""2""","""Female""","""53""","""no""","""""",NA,""".27""","""3"""
6,"""English""","""2""","""Female""","""37""","""None""","""Thanks!""","""No""",""".27""","""2"""
7,"""English""","""2""","""Male""","""66""","""No""","""""",NA,"""Yes""","""2"""
8,"""English""","""2""","""Female""","""50""","""none""","""Make the end boxes for demographic information a little bigger - they were hard to type in""",NA,""".30""","""3"""
9,"""English""","""2""","""Male""","""34""","""None""","""""","""Yes""",""".40""","""1"""
10,"""English""","""2""","""Female""","""32""","""no""","""no comments""","""Yes""","""0.25""","""3"""
11,"""English""","""-1""","""Female""","""37""","""no""","""Thanks!""","""Yes""",""".27""","""3"""
12,"""English""","""1""","""Female""","""47""","""no""","""thank you and be well""","""Yes""","""yes""","""1"""
13,"""English""","""2""","""Male""","""37""","""No""","""""","""Yes""","""0.30""","""2"""
14,"""English""","""2""","""Male""","""27""","""no""","""easy and straightforward. Thank you. """,NA,""".25""","""3"""
15,"""English ""","""1""","""Female""","""35""","""No""","""""","""No""","""27""","""3"""
16,"""english""","""2""","""Male""","""31""","""""","""""","""Yes""",""".25""","""2"""
17,"""English""","""1""","""Male""","""29""","""""","""""","""Yes""","""0.50""","""2"""
18,"""English""","""2""","""Male""","""36""","""""","""""","""Yes""","""""","""2"""
19,"""English""","""2""","""Female""","""42""","""""","""""",NA,""".05""","""4"""
20,"""English""","""2""","""Female""","""24""","""no""","""""","""Yes""","""0.15""","""3"""
21,"""English""","""2""","""Male""","""48""","""None""","""""","""Yes""",""".15""","""4"""
22,"""English""","""1""","""Female""","""23""","""no""","""""",NA,"""0.27""","""2"""
23,"""English""","""2""","""Male""","""35""","""No""","""This was interesting.""","""Yes""",""".25""","""4"""
24,"""English""","""1""","""Female""","""56""","""none""","""none""",NA,"""Yes it is fair.""","""2"""
25,"""english""","""1""","""Female""","""47""","""no, none""","""no comments""","""Yes""",""".27""","""2"""
26,"""English""","""2""","""Male""","""32""","""No""","""""","""Yes""",""".30""","""3"""
27,"""english""","""2""","""Female""","""30""","""no""","""good""","""No""","""0.30""","""4"""
28,"""English""","""2""","""Female""","""52""","""no""","""""","""Yes""",""".27""","""3"""
29,"""English""","""2""","""Male""","""29""","""""","""""","""No""",""".5""","""4"""
30,"""English""","""2""","""Female""","""25""","""none""","""""","""Yes""",""".27""","""2"""
31,"""english""","""2""","""Female""","""32""","""no""","""""","""Yes""",""".27""","""2"""
32,"""english""","""1""","""Male""","""38""","""no""","""more""","""Yes""","""yes""","""3"""
33,"""English""","""2""","""Female""","""54""","""""","""""","""Yes""",""".40""","""3"""
34,"""English""","""2""","""Female""","""38""","""No""","""""","""Yes""",""".25""","""2"""
35,"""English""","""2""","""Male""","""54""","""none""","""""","""Yes""","""yes""","""2"""
36,"""English""","""2""","""Male""","""46""","""no""","""""","""No""","""0.27""","""2"""
37,"""English""","""1""","""Female""","""37""","""No.""","""No issues and was simple.""","""Yes""","""0.30""","""2"""
38,"""English""","""1""","""Female""","""33""","""None""","""The HIT was fine. This question list takes longer and is not fine. You&quotecharre still gathering information from us at this point and it still takes time. Compensate accordingly.""","""Yes""","""1.00""","""3"""
39,"""English""","""2""","""Female""","""60""","""no""","""""","""Yes""","""27""","""2"""
40,"""english""","""1""","""Male""","""32""","""no""","""""","""Yes""",""".25""","""3"""
41,"""English""","""2""","""Male""","""25""","""none ""","""it the hit was interesting i would love to do more hits like this ""","""Yes""","""$0.5""","""4"""
42,"""English""","""2""","""Female""","""46""","""no""","""""",NA,""".25""","""3"""
43,"""English""","""1""","""Female""","""19""","""No.""","""""","""Yes""","""$0.27""","""2"""
44,"""English""","""2""","""""","""34""","""""","""""",NA,"""""","""3"""
45,"""English""","""2""","""Male""","""29""","""""","""I like gay guys (I&quotecharm not gay though).""","""Yes""","""0.27""","""3"""
46,"""English""","""1""","""Male""","""29""","""No.""","""""","""Yes""",""".30""","""2"""
47,"""English""","""1""","""Female""","""33""","""No""","""""","""Yes""",""".27""","""2"""
48,"""English""","""2""","""Female""","""45""","""no""","""Thanks!""","""Yes""",""".25""","""3"""
49,"""English""","""2""","""Female""","""24""","""""","""""","""Yes""",""".40""","""1"""
50,"""English""","""2""","""Female""","""25""","""No.""","""Thanks!""",NA,"""1.00""","""2"""
51,"""english""","""1""","""Female""","""24""","""""","""""","""Yes""",""".25""","""1"""
52,"""english""","""2""","""Female""","""23""","""no""","""good HIT and good pay""","""Yes""","""yes""","""2"""
53,"""English""","""1""","""Female""","""31""","""no""","""""",NA,"""30""","""2"""
54,"""English""","""1""","""Female""","""46""","""no""","""""","""Yes""","""0.25""","""4"""
55,"""english""","""1""","""Male""","""27""","""no""","""""","""Yes""",""".10""","""3"""
56,"""English""","""1""","""Male""","""23""","""""","""""","""Yes""",""".25""","""2"""
57,"""english""","""2""","""Male""","""27""","""no""","""God bless and good luck! Jesus loves you! All clear with the survey. Thank you for the opportunity to help!\n""","""Yes""","""yes""","""2"""
58,"""English""","""2""","""Male""","""39""","""no""","""I think you might want to be careful with priming subjects for this experiment. Stating that it was a \""male\"" speaker was fine. But the as soon as I saw the 2nd question I knew what you were looking for. This *may* cause people to reevaluate the voice and listen to it again a different way. Set up the quiz so they can&quotechart see the questions until after they&quotecharve listen to the voice as much as they want.""","""Yes""","""0.27""","""3"""
59,"""English""","""2""","""Female""","""58""","""No""","""Thank you for hit that was exactly as presented!""","""Yes""","""$0.27""","""3"""
60,"""English""","""1""","""Male""","""48""","""No.""","""""",NA,"""0.27""","""3"""
61,"""English""","""1""","""Male""","""46""","""No""","""Thanks""",NA,"""Yes""","""2"""
62,"""english""","""2""","""Female""","""47""","""no""","""no comments""","""Yes""",""".25""","""2"""
63,"""English""","""1""","""Female""","""48""","""took a second for the voice to start.  Thought my speakers weren&quotechart working.  Maybe that was intentional :)""","""Nope""","""Yes""","""yes""","""2"""
64,"""English""","""1""","""Male""","""28""","""no""","""""","""Yes""","""yes""","""3"""
65,"""English""","""2""","""Female""","""34""","""""","""""","""Yes""","""0.27""","""3"""
66,"""""","""-1""","""Male""","""32""","""""","""""","""Yes""","""""","""2"""
67,"""English""","""2""","""Female""","""32""","""No""","""""","""Yes""","""Yes""","""2"""
68,"""English""","""2""","""Male""","""59""","""no""","""""","""Yes""",""".27""","""2"""
69,"""english""","""1""","""Male""","""54""","""no""","""""","""Yes""","""I guess""","""3"""
70,"""English""","""2""","""Female""","""32""","""""","""""","""Yes""","""0.30""","""3"""
71,"""English""","""2""","""Male""","""23""","""There were no issues""","""""","""Yes""",""".30""","""3"""
72,"""English""","""1""","""Male""","""28""","""""","""""","""Yes""","""0.27""","""2"""
73,"""English""","""2""","""Male""","""60""","""no""","""would be willing to do any similar hits you send me.""","""Yes""",""".25""","""3"""
74,"""english""","""2""","""Female""","""56""","""nope""","""""","""Yes""","""27""","""3"""
75,"""English""","""2""","""Male""","""30""","""No""","""""",NA,"""Yes""","""3"""
76,"""English""","""1""","""Male""","""30""","""No""","""""","""Yes""","""Yes""","""4"""
77,"""english""","""1""","""Female""","""66""","""""","""""",NA,""".50""","""4"""
78,"""English""","""2""","""Male""","""38""","""No""","""""",NA,""".30""","""3"""
79,"""english""","""2""","""Male""","""35""","""no""","""""","""Yes""",""".27""","""3"""
80,"""english""","""1""","""Female""","""55""","""no""","""""","""Yes""","""30""","""3"""
81,"""English""","""2""","""Female""","""32""","""none""","""""","""Yes""",""".30""","""3"""
82,"""English""","""2""","""Male""","""34""","""""","""""","""Yes""",""".20""","""1"""
83,"""English""","""1""","""Male""","""48""","""no""","""""",NA,"""$0.25""","""3"""
84,"""english""","""1""","""Female""","""32""","""no""","""""","""Yes""",""".50""","""3"""
85,"""english""","""2""","""Female""","""52""","""none""","""""","""Yes""",""".30""","""3"""
86,"""English""","""2""","""Female""","""27""","""No""","""""","""Yes""","""yes""","""2"""
87,"""English""","""2""","""Male""","""35""","""No.""","""""","""Yes""",""".27""","""2"""
88,"""english""","""2""","""Female""","""33""","""no""","""it was fun""","""Yes""",""".50""","""3"""
89,"""english""","""1""","""Female""","""34""","""no""","""""","""Yes""","""0.30""","""2"""
90,"""English""","""2""","""Female""","""32""","""No""","""""","""Yes""",""".27""","""3"""
91,"""english""","""2""","""Male""","""30""","""none""","""""","""Yes""","""yes""","""3"""
92,"""English""","""2""","""Male""","""22""","""""","""""","""Yes""",""".2""","""3"""
93,"""English""","""1""","""Male""","""43""","""No""","""""","""Yes""","""Yes""","""3"""
94,"""English""","""2""","""Male""","""32""","""I only heard one speaker.""","""""","""Yes""",""".25""","""3"""
95,"""English""","""1""","""Female""","""25""","""No""","""""","""Yes""",""".25""","""3"""
96,"""English""","""2""","""Female""","""31""","""""","""""","""Yes""",""".27""","""4"""
97,"""English""","""1""","""Female""","""23""","""No""","""""",NA,"""0.20""","""2"""
98,"""english""","""1""","""Male""","""33""","""no""","""""","""Yes""",""".27""","""2"""
99,"""English""","""1""","""Female""","""45""","""No problems""","""Thank you, is there a limit on how many we can do?\n""","""Yes""",""".27""","""1"""
100,"""English""","""2""","""Male""","""27""","""no""","""""","""No""",""".20""","""2"""
101,"""english""","""2""","""Female""","""29""","""no""","""""","""Yes""",""".25""","""3"""
102,"""English""","""2""","""Male""","""28""","""No technical difficulties, whatsoever.""","""Person sounded gay to me.""",NA,""".50""","""1"""
103,"""english""","""2""","""Female""","""31""","""no""","""""",NA,""".25""","""1"""
104,"""english""","""1""","""Female""","""62""","""no""","""no comments""",NA,""".50""","""4"""
105,"""english""","""1""","""Female""","""33""","""no""","""""","""Yes""","""0.30""","""1"""
106,"""english""","""2""","""Female""","""55""","""no""","""interesting and fun""","""Yes""",""".20""","""2"""
107,"""english""","""2""","""Female""","""53""","""no""","""""",NA,""".50""","""3"""
108,"""English""","""2""","""Female""","""69""","""no""","""""",NA,""".27""","""2"""
109,"""English""","""2""","""Male""","""26""","""""","""""","""Yes""","""0.25""","""3"""
110,"""English ""","""1""","""Female""","""44""","""It was fine but the last word had a skip or small glutch""","""""","""Yes""",""".35""","""4"""
111,"""English""","""2""","""Male""","""31""","""No.""","""This was fun!""","""Yes""","""0.25""","""2"""
112,"""English ""","""1""","""Female""","""28""","""No""","""""","""Yes""",""".27""","""3"""
113,"""english""","""0""","""Female""","""54""","""your homophobic questions are offensive!!!!!!!!!!!!!!""","""your homophobic questions are offensive!!!!!!!!!!!!!!""","""Yes""","""2.00""","""3"""
114,"""English""","""2""","""Male""","""28""","""""","""""","""Yes""",""".27""","""2"""
115,"""english""","""1""","""Female""","""30""","""no""","""""","""Yes""",""".30""","""2"""
116,"""English""","""2""","""Male""","""28""","""""","""""","""Yes""",""".35""","""1"""
117,"""English""","""2""","""Female""","""31""","""no""","""""","""Yes""","""0.27""","""4"""
118,"""English""","""2""","""Male""","""27""","""None.""","""Great study.""","""Yes""","""0.30""","""1"""
119,"""English""","""1""","""Female""","""42""","""No""","""None""",NA,""".50""","""3"""
120,"""english""","""2""","""Female""","""37""","""no""","""""","""Yes""",""".27""","""3"""
121,"""English""","""2""","""Female""","""49""","""no""","""""","""Yes""",""".50""","""3"""
122,"""ENGLISH""","""2""","""Female""","""35""","""no""","""""","""Yes""",""".30""","""4"""
123,"""English""","""2""","""Female""","""46""","""no""","""""",NA,""".27""","""2"""
124,"""English""","""1""","""Female""","""59""","""There were no problems.""","""""","""Yes""","""$0.30""","""3"""
125,"""English""","""2""","""Female""","""33""","""none""","""Thank you! ""","""Yes""","""yes""","""2"""
126,"""English""","""2""","""Female""","""22""","""no""","""""",NA,""".45""","""4"""
127,"""English""","""2""","""Male""","""33""","""""","""""","""Yes""","""0.40""","""4"""
128,"""english""","""2""","""Male""","""74""","""no""","""good and nice""","""Yes""",""".30""","""3"""
129,"""English""","""1""","""Female""","""48""","""No""","""""","""Yes""","""0.25""","""3"""
130,"""english""","""2""","""Female""","""38""","""no""","""""",NA,""".25""","""2"""
131,"""English""","""2""","""Female""","""25""","""No""","""""","""Yes""",""".27""","""1"""
132,"""English""","""2""","""Female""","""56""","""""","""""",NA,""".35""","""3"""
133,"""English""","""2""","""Male""","""21""","""There was not.""","""None.""",NA,"""It was very generous.""","""2"""
134,"""English""","""2""","""Male""","""42""","""No""","""""",NA,""".27""","""3"""
135,"""English""","""1""","""Male""","""31""","""none""","""""","""Yes""","""0.25""","""3"""
136,"""English""","""2""","""Male""","""35""","""no""","""no comments""","""Yes""",""".25""","""4"""
137,"""English""","""1""","""Female""","""68""","""no""","""none""",NA,""".27""","""3"""
138,"""English""","""1""","""Male""","""35""","""no""","""""","""Yes""",""".30""","""3"""
139,"""English ""","""2""","""Female""","""33""","""No""","""""","""Yes""","""0.27""","""2"""
140,"""English""","""2""","""Female""","""53""","""no""","""This was interesting. ""","""Yes""",""".35""","""3"""
141,"""english""","""1""","""Male""","""35""","""no""","""n/a""",NA,""".27""","""3"""
142,"""English""","""1""","""Male""","""49""","""No.""","""None.""",NA,""".27""","""4"""
143,"""English""","""2""","""Male""","""29""","""NA""","""NA""","""Yes""","""0.27""","""3"""
144,"""English""","""2""","""Male""","""33""","""no issues""","""none""","""Yes""","""0.27""","""3"""
145,"""English""","""2""","""Male""","""35""","""None""","""I&quotechard definitely do more of these.""","""Yes""","""0.27""","""3"""
146,"""english""","""0""","""Male""","""46""","""it didnt pay anything the forst time""","""""","""Yes""","""?""","""2"""
147,"""english""","""1""","""Female""","""43""","""no""","""""",NA,""".25""","""4"""
148,"""English""","""1""","""Female""","""34""","""""","""""",NA,""".27""","""2"""
149,"""English""","""2""","""Male""","""65""","""No""","""Well-paid for what was asked. Thanks!""","""Yes""",""".25""","""2"""
150,"""English""","""2""","""Female""","""36""","""None.""","""None.""","""Yes""",""".27""","""2"""
151,"""English""","""2""","""Male""","""42""","""""","""""",NA,"""0.25""","""4"""
152,"""English""","""1""","""Male""","""36""","""No problems here.""","""""","""Yes""","""0.25""","""3"""
153,"""English""","""1""","""Female""","""37""","""no""","""""","""No""",""".30""","""2"""
154,"""English""","""2""","""Male""","""40""","""No.""","""None.""","""Yes""","""0.30""","""3"""
155,"""Spanish, English""","""1""","""Female""","""23""","""No""","""""","""Yes""","""I think 27 cents is fair.""","""1"""
156,"""English""","""1""","""Male""","""34""","""No""","""""","""Yes""","""0.40""","""3"""
157,"""ENGLISH""","""2""","""Female""","""32""","""NONE""","""N/A""","""Yes""","""0.25""","""3"""
158,"""english""","""1""","""Male""","""42""","""none""","""""","""No""","""it is ok""","""1"""
159,"""English""","""2""","""Male""","""24""","""Everything was clear""","""The HIT was smooth to follow. Thank you""",NA,"""0.30""","""3"""
160,"""english""","""2""","""Male""","""24""","""no""","""""","""Yes""",""".30""","""3"""
161,"""English""","""2""","""Female""","""27""","""No""","""""",NA,"""0.15""","""3"""
