workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Linux""",768,1366,"""Chrome"""
2,"""Windows""",768,1366,"""Chrome"""
3,"""Mac""",900,1440,"""Chrome"""
4,"""Windows""",650,1870,"""Chrome"""
5,"""Mac""",900,1440,"""Chrome"""
6,"""Windows""",900,1600,"""Chrome"""
7,"""Windows""",768,1360,"""Chrome"""
8,"""Windows""",1080,1920,"""Chrome"""
9,"""Linux""",846,412,"""Chrome"""
10,"""Mac""",1080,1920,"""Chrome"""
11,"""Windows""",720,1280,"""Chrome"""
12,"""Windows""",1024,1280,"""Chrome"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Firefox"""
15,"""Linux""",732,412,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Windows""",720,1280,"""Firefox"""
18,"""Mac""",800,1280,"""Chrome"""
19,"""Windows""",720,1280,"""Chrome"""
20,"""Windows""",1080,1920,"""Chrome"""
21,"""Windows""",1080,1920,"""Mozilla"""
22,"""Windows""",768,1366,"""Chrome"""
23,"""Windows""",900,1440,"""Chrome"""
24,"""Windows""",900,1440,"""Firefox"""
25,"""Windows""",1206,2144,"""Firefox"""
26,"""Windows""",1080,1920,"""Chrome"""
27,"""Windows""",1080,1920,"""Chrome"""
28,"""Windows""",768,1366,"""Chrome"""
29,"""Windows""",1080,1920,"""Chrome"""
30,"""Windows""",720,1280,"""Firefox"""
31,"""Windows""",864,1536,"""Firefox"""
32,"""Mac""",900,1440,"""Chrome"""
33,"""iPhone/iPod""",568,320,"""Safari"""
34,"""Windows""",1080,1920,"""Chrome"""
35,"""Windows""",768,1366,"""Chrome"""
36,"""Windows""",900,1600,"""Firefox"""
37,"""Windows""",1200,1920,"""Chrome"""
38,"""Windows""",1080,1920,"""Chrome"""
39,"""Windows""",768,1366,"""Chrome"""
40,"""Windows""",720,1280,"""Chrome"""
41,"""Windows""",768,1366,"""Chrome"""
42,"""Windows""",900,1600,"""Chrome"""
43,"""Windows""",768,1366,"""Chrome"""
44,"""Mac""",800,1280,"""Chrome"""
45,"""Windows""",768,1366,"""Chrome"""
46,"""Windows""",768,1360,"""Chrome"""
47,"""Windows""",768,1366,"""Chrome"""
48,"""Mac""",900,1440,"""Safari"""
49,"""Windows""",1080,1920,"""Chrome"""
50,"""Windows""",700,1120,"""Chrome"""
51,"""Windows""",1080,1920,"""Chrome"""
52,"""Windows""",768,1024,"""Firefox"""
53,"""Mac""",1200,1920,"""Chrome"""
54,"""Windows""",864,1536,"""Firefox"""
55,"""Windows""",800,1280,"""Chrome"""
56,"""Windows""",1080,1920,"""Chrome"""
57,"""Windows""",864,1536,"""Chrome"""
58,"""Windows""",768,1366,"""Chrome"""
59,"""Windows""",900,1600,"""Chrome"""
60,"""Windows""",768,1366,"""Chrome"""
61,"""Windows""",900,1600,"""Chrome"""
62,"""Windows""",768,1366,"""Firefox"""
63,"""Windows""",1080,1920,"""Chrome"""
64,"""Windows""",900,1440,"""Chrome"""
65,"""Mac""",900,1440,"""Chrome"""
66,"""Windows""",768,1360,"""Chrome"""
67,"""Mac""",900,1440,"""Chrome"""
68,"""Windows""",1080,1920,"""Chrome"""
69,"""Windows""",1080,1920,"""Chrome"""
70,"""Windows""",768,1366,"""Chrome"""
71,"""Windows""",768,1366,"""Chrome"""
72,"""Linux""",360,640,"""Chrome"""
73,"""Windows""",900,1600,"""Chrome"""
74,"""Windows""",1080,1920,"""Chrome"""
75,"""Windows""",1080,1920,"""Chrome"""
76,"""Windows""",768,1366,"""Chrome"""
77,"""Windows""",614,1093,"""Chrome"""
78,"""Windows""",1080,1920,"""Chrome"""
79,"""Mac""",900,1440,"""Chrome"""
80,"""Windows""",768,1366,"""Chrome"""
81,"""Windows""",768,1366,"""Chrome"""
82,"""Linux""",600,1024,"""Chrome"""
83,"""Windows""",900,1600,"""Chrome"""
84,"""Windows""",1271,2259,"""Mozilla"""
85,"""Windows""",768,1366,"""Chrome"""
86,"""Windows""",768,1366,"""Chrome"""
87,"""Windows""",1080,1920,"""Chrome"""
88,"""Windows""",768,1366,"""Chrome"""
89,"""Windows""",900,1600,"""Chrome"""
90,"""Windows""",1029,1829,"""Chrome"""
91,"""Windows""",800,1280,"""Chrome"""
92,"""Windows""",900,1600,"""Chrome"""
93,"""Windows""",1080,1920,"""Chrome"""
94,"""Mac""",800,1280,"""Chrome"""
95,"""Windows""",864,1536,"""Chrome"""
96,"""Linux""",732,412,"""Chrome"""
97,"""Windows""",768,1366,"""Firefox"""
98,"""Windows""",704,939,"""Firefox"""
99,"""Windows""",900,1600,"""Chrome"""
100,"""Linux""",768,1024,"""Firefox"""
101,"""Windows""",900,1600,"""Firefox"""
102,"""Windows""",1080,1920,"""Chrome"""
103,"""Windows""",1080,1920,"""Chrome"""
104,"""Windows""",1080,1920,"""Chrome"""
105,"""Windows""",768,1366,"""Chrome"""
106,"""Windows""",900,1600,"""Chrome"""
107,"""Windows""",1080,1920,"""Chrome"""
108,"""Windows""",900,1600,"""Chrome"""
109,"""Linux""",864,1536,"""Chrome"""
